API,PermitDate,SpudDate,CompletionDate,FirstProductionDate,operatorNameIHS,formation,BasinName,StateName,CountyName,LatWGS84,LonWGS84,BottomHoleLatitude,BottomHoleLongitude
42301321780000,2014-05-08,2014-06-24,2015-03-11,2015-03-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,LOVING,31.72560671,-103.480988931,31.71074,-103.47412
42475365700000,2013-11-18,2014-01-04,2014-04-03,2014-03-01 00:00:00.000,ANADARKO E & P ONSHORE LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,WARD,31.521707765,-103.36238362899999,31.512179999999997,-103.37334
42389341930000,2014-04-26,2015-03-05,2015-06-25,2015-05-01 00:00:00.000,BHP BILLITON PETROLEUM(TXLA OP) COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.693520804000002,-103.861126663,31.679779999999997,-103.8611
42109328610100,2015-06-22,2015-07-28,2015-10-08,2015-10-01 00:00:00.000,CAPITAN ENERGY INCORPORATED,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.742422215,-104.05555551299999,31.72748,-104.05559000000001
42105421340000,2014-09-16,2014-11-07,2015-03-21,2015-03-01 00:00:00.000,APPROACH OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,CROCKETT,30.97597632,-101.239433516,30.95461,-101.23971999999999
42389346040000,2014-10-20,2015-01-19,2015-06-12,2015-03-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.067232041,-103.420870035,31.05317,-103.44066
42383382180000,2013-02-07,2013-12-15,2014-04-04,2014-04-01 00:00:00.000,SABLE PERMIAN RESOURCES LAND LLC,WOLFCAMP,PERMIAN BASIN,TEXAS,REAGAN,31.236697313,-101.50971028299999,31.258000000000003,-101.51016
42235359240000,2014-08-22,2014-09-28,2015-01-06,2014-12-01 00:00:00.000,EP ENERGY E&P COMPANY LP,WOLFCAMP,PERMIAN BASIN,TEXAS,IRION,31.082727309000003,-101.26804726700001,31.058559999999996,-101.26535
42389336820000,2013-03-15,2013-08-17,2014-04-09,2013-11-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP / BONE SPRING,PERMIAN BASIN,TEXAS,REEVES,31.396515065,-103.40320272,31.38315,-103.40633000000001
42109325460000,2013-04-04,2013-10-16,2014-08-18,2014-06-01 00:00:00.000,CONOCOPHILLIPS COMPANY,WOLFCAMP,PERMIAN BASIN,TEXAS,CULBERSON,31.956010784,-104.06078050299999,31.942809999999998,-104.06003
42389345460200,2014-09-10,2015-01-28,2015-05-28,2015-05-01 00:00:00.000,CENTENNIAL RESOURCES,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.191704355,-103.52832473,31.178409999999996,-103.53094
42389338450000,2013-06-28,2013-10-31,2014-05-06,2014-01-01 00:00:00.000,COG OPERATING LIMITED LIABILITY CORP,WOLFCAMP,PERMIAN BASIN,TEXAS,REEVES,31.067676679,-103.401891814,31.0818,-103.39965
